Timestamp,Brain Wave Type,Start Value,Max Value,Ending Value,Average Value,Change in Value,Summary,,,,,,,,,
2018-04-03 10:03:51.218 to 2018-04-03 10:03:52.008,Delta_AF8,-0.010983604,0.096097329,-0.052416859,0.061653629,0.107080933,"From 2018-04-03 10:03:51.218 to 2018-04-03 10:03:52.008, Delta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:10.228 to 2018-04-03 10:02:15.962,Theta_TP9,-0.12470911,1.25282826,-0.037875112,0.651713227,1.37753737,"From 2018-04-03 10:02:10.228 to 2018-04-03 10:02:15.962, Theta_TP9 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:17.683 to 2018-04-03 10:02:25.311,Theta_TP9,-0.035249096,1.070959831,-0.131736723,0.819139315,1.106208926,"From 2018-04-03 10:02:17.683 to 2018-04-03 10:02:25.311, Theta_TP9 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:25.768 to 2018-04-03 10:03:01.175,Theta_TP9,-0.139855187,0.845160616,-0.065140637,0.364730188,0.985015803,"From 2018-04-03 10:02:25.768 to 2018-04-03 10:03:01.175, Theta_TP9 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:01.557 to 2018-04-03 10:03:03.401,Theta_TP9,-0.021449034,0.240992403,-0.028627755,0.180428654,0.262441436,"From 2018-04-03 10:03:01.557 to 2018-04-03 10:03:03.401, Theta_TP9 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:03.777 to 2018-04-03 10:03:13.048,Theta_TP9,-0.094458484,0.672100072,-0.032900577,0.294723156,0.766558556,"From 2018-04-03 10:03:03.777 to 2018-04-03 10:03:13.048, Theta_TP9 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:13.368 to 2018-04-03 10:03:28.401,Theta_TP9,-0.033704626,1.010257282,-0.055848322,0.317970085,1.043961908,"From 2018-04-03 10:03:13.368 to 2018-04-03 10:03:28.401, Theta_TP9 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:29.220 to 2018-04-03 10:03:44.178,Theta_TP9,-0.062194562,0.701529706,-0.043286887,0.350455713,0.763724268,"From 2018-04-03 10:03:29.220 to 2018-04-03 10:03:44.178, Theta_TP9 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:44.720 to 2018-04-03 10:03:49.625,Theta_TP9,-0.055849649,0.687525623,-0.024446475,0.357969312,0.743375272,"From 2018-04-03 10:03:44.720 to 2018-04-03 10:03:49.625, Theta_TP9 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:49.799 to 2018-04-03 10:03:55.621,Theta_TP9,-0.027078049,0.421303183,-0.021630883,0.226640198,0.448381233,"From 2018-04-03 10:03:49.799 to 2018-04-03 10:03:55.621, Theta_TP9 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:10.622 to 2018-04-03 10:02:12.409,Theta_AF8,-0.110579101,0.17966971,-0.102018003,0.109489422,0.290248811,"From 2018-04-03 10:02:10.622 to 2018-04-03 10:02:12.409, Theta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:19.417 to 2018-04-03 10:02:21.920,Theta_AF8,-0.027877796,0.574938153,-0.101897688,0.365533754,0.602815949,"From 2018-04-03 10:02:19.417 to 2018-04-03 10:02:21.920, Theta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:46.996 to 2018-04-03 10:02:48.422,Theta_AF8,0.025440594,0.225227826,0.01592463,0.177001962,0.199787232,"From 2018-04-03 10:02:46.996 to 2018-04-03 10:02:48.422, Theta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:52.856 to 2018-04-03 10:02:57.126,Theta_AF8,-0.070796495,0.686172905,-0.071864037,0.325644219,0.7569694,"From 2018-04-03 10:02:52.856 to 2018-04-03 10:02:57.126, Theta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:09.074 to 2018-04-03 10:03:09.878,Theta_AF8,-0.001022422,0.020233073,-0.019967264,0.0107702,0.021255495,"From 2018-04-03 10:03:09.074 to 2018-04-03 10:03:09.878, Theta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:46.970 to 2018-04-03 10:03:47.890,Theta_AF8,-0.006231588,0.01876288,-0.038959758,0.011377996,0.024994467,"From 2018-04-03 10:03:46.970 to 2018-04-03 10:03:47.890, Theta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:50.008 to 2018-04-03 10:03:50.253,Theta_AF8,-0.002391071,0.005486408,-0.004027064,0.004494692,0.007877479,"From 2018-04-03 10:03:50.008 to 2018-04-03 10:03:50.253, Theta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:56.741 to 2018-04-03 10:02:58.684,Theta_TP10,0.543829906,1.246015052,0.768860016,1.152394835,0.702185146,"From 2018-04-03 10:02:56.741 to 2018-04-03 10:02:58.684, Theta_TP10 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:38.693 to 2018-04-03 10:04:03.440,Theta_TP10,0.001062848,0.674014176,-0.029605338,0.357842526,0.672951328,"From 2018-04-03 10:03:38.693 to 2018-04-03 10:04:03.440, Theta_TP10 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:12.640 to 2018-04-03 10:02:14.579,Alpha_AF8,0.005106188,0.187214808,-0.033003256,0.15038976,0.18210862,"From 2018-04-03 10:02:12.640 to 2018-04-03 10:02:14.579, Alpha_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:15.571 to 2018-04-03 10:02:16.931,Alpha_AF8,-0.053635369,-0.007482291,-0.036826104,-0.007634189,0.046153078,"From 2018-04-03 10:02:15.571 to 2018-04-03 10:02:16.931, Alpha_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:17.911 to 2018-04-03 10:02:19.980,Alpha_AF8,-0.043684342,0.304661417,-0.045458854,0.25411125,0.348345759,"From 2018-04-03 10:02:17.911 to 2018-04-03 10:02:19.980, Alpha_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:20.167 to 2018-04-03 10:02:23.989,Alpha_AF8,0.001152383,0.253473553,-0.118382705,0.229370215,0.25232117,"From 2018-04-03 10:02:20.167 to 2018-04-03 10:02:23.989, Alpha_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:26.386 to 2018-04-03 10:02:28.075,Alpha_AF8,-0.011200806,0.04091348,-0.004621882,0.020155464,0.052114285,"From 2018-04-03 10:02:26.386 to 2018-04-03 10:02:28.075, Alpha_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:46.712 to 2018-04-03 10:02:59.093,Alpha_AF8,0.068904042,0.628805091,0.100126244,0.363410964,0.559901049,"From 2018-04-03 10:02:46.712 to 2018-04-03 10:02:59.093, Alpha_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:01.060 to 2018-04-03 10:03:03.393,Alpha_AF8,-0.023958047,0.299265371,-0.074710245,0.220515189,0.323223418,"From 2018-04-03 10:03:01.060 to 2018-04-03 10:03:03.393, Alpha_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:06.092 to 2018-04-03 10:03:13.874,Alpha_AF8,-0.015218334,0.575722799,-0.010788711,0.318995733,0.590941133,"From 2018-04-03 10:03:06.092 to 2018-04-03 10:03:13.874, Alpha_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:14.992 to 2018-04-03 10:03:32.070,Alpha_AF8,0.022741777,0.495445195,0.012332332,0.27128703,0.472703418,"From 2018-04-03 10:03:14.992 to 2018-04-03 10:03:32.070, Alpha_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:32.858 to 2018-04-03 10:03:38.899,Alpha_AF8,-0.088596146,0.293423464,-0.04115987,0.167607009,0.38201961,"From 2018-04-03 10:03:32.858 to 2018-04-03 10:03:38.899, Alpha_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:41.056 to 2018-04-03 10:03:56.029,Alpha_AF8,-0.150263616,0.720871992,-0.059782123,0.283264756,0.871135608,"From 2018-04-03 10:03:41.056 to 2018-04-03 10:03:56.029, Alpha_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:16.250 to 2018-04-03 10:02:24.457,Beta_TP9,0.002775457,0.87957285,-0.005022679,0.430337235,0.876797394,"From 2018-04-03 10:02:16.250 to 2018-04-03 10:02:24.457, Beta_TP9 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:12.598 to 2018-04-03 10:02:15.074,Beta_AF8,-0.217147117,0.733727114,-0.205010795,0.475413332,0.950874231,"From 2018-04-03 10:02:12.598 to 2018-04-03 10:02:15.074, Beta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:18.936 to 2018-04-03 10:02:19.793,Beta_AF8,-0.011008333,0.115502153,-0.080414737,0.071180159,0.126510486,"From 2018-04-03 10:02:18.936 to 2018-04-03 10:02:19.793, Beta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:52.698 to 2018-04-03 10:02:54.631,Beta_AF8,0.024830235,0.609957136,-0.137281664,0.507843275,0.5851269,"From 2018-04-03 10:02:52.698 to 2018-04-03 10:02:54.631, Beta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:06.725 to 2018-04-03 10:03:07.735,Beta_AF8,-0.037337802,0.050006705,-0.047738615,0.028811249,0.087344507,"From 2018-04-03 10:03:06.725 to 2018-04-03 10:03:07.735, Beta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:13.263 to 2018-04-03 10:02:14.740,Gamma_TP9,-0.202640162,0.229873647,-0.121471344,0.091397799,0.432513809,"From 2018-04-03 10:02:13.263 to 2018-04-03 10:02:14.740, Gamma_TP9 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:52.407 to 2018-04-03 10:02:54.389,Gamma_TP9,-0.004711682,0.453647921,-0.159546787,0.302077523,0.458359603,"From 2018-04-03 10:02:52.407 to 2018-04-03 10:02:54.389, Gamma_TP9 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:42.415 to 2018-04-03 10:03:43.157,Gamma_TP9,-0.19950683,0.115969076,-0.085364012,0.043036104,0.315475906,"From 2018-04-03 10:03:42.415 to 2018-04-03 10:03:43.157, Gamma_TP9 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:12.829 to 2018-04-03 10:02:14.938,Gamma_AF8,-0.038237658,0.565312042,-0.035683619,0.402143847,0.6035497,"From 2018-04-03 10:02:12.829 to 2018-04-03 10:02:14.938, Gamma_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:52.703 to 2018-04-03 10:02:54.500,Gamma_AF8,-0.194216369,0.442079345,-0.16962196,0.36347688,0.636295714,"From 2018-04-03 10:02:52.703 to 2018-04-03 10:02:54.500, Gamma_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:42.038 to 2018-04-03 10:03:43.947,Gamma_AF8,-0.594015045,0.627037741,-0.316825036,0.384450219,1.221052787,"From 2018-04-03 10:03:42.038 to 2018-04-03 10:03:43.947, Gamma_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
